# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
  144       5.495586479164e-10       1.474826250187e-13      -5.962446439090e-12       9.107543539611e-16       3.989860609249e-12       6.983205373086e-13      -4.427404762227e-15 
  145       5.539670090323e-10       1.471902607885e-13      -5.984316663412e-12       9.244455906605e-16       3.911813668107e-12       6.876578559680e-13      -4.363515263659e-15 
  146       5.583571151939e-10       1.468355123209e-13      -6.003272987947e-12       9.382708585963e-16       3.835571583898e-12       6.771844921507e-13      -4.299089686024e-15 
  147       5.627279235826e-10       1.464191194311e-13      -6.019267336838e-12       9.522306028837e-16       3.761135721255e-12       6.669018406462e-13      -4.234173822385e-15 
  148       5.670783540775e-10       1.459419183263e-13      -6.032252983610e-12       9.663252465103e-16       3.688501015603e-12       6.568105386688e-13      -4.168813700690e-15 
  149       5.714072884553e-10       1.454048433473e-13      -6.042184591005e-12       9.805551897916e-16       3.617655816352e-12       6.469104465989e-13      -4.103055564135e-15 
  150       5.757135695891e-10       1.448089287087e-13      -6.049018250807e-12       9.949208098265e-16       3.548581730077e-12       6.372006287251e-13      -4.036945851537e-15 
  151       5.799960006482e-10       1.441553102406e-13      -6.052711523674e-12       1.009422459953e-15       3.481253463719e-12       6.276793339857e-13      -3.970531177700e-15 
  152       5.842533442972e-10       1.434452271295e-13      -6.053223478972e-12       1.024060469206e-15       3.415638667761e-12       6.183439767104e-13      -3.903858313785e-15 
  153       5.884843218955e-10       1.426800236589e-13      -6.050514734602e-12       1.038835141768e-15       3.351697779430e-12       6.091911173622e-13      -3.836974167681e-15 
  154       5.926876126968e-10       1.418611509507e-13      -6.044547496832e-12       1.053746756430e-15       3.289383865874e-12       6.002164432790e-13      -3.769925764366e-15 
  155       5.968618530482e-10       1.409901687060e-13      -6.035285600129e-12       1.068795566045e-15       3.228642467359e-12       5.914147494155e-13      -3.702760226286e-15 
  156       6.010056355899e-10       1.400687469462e-13      -6.022694546985e-12       1.083981796984e-15       3.169411440456e-12       5.827799190845e-13      -3.635524753715e-15 
  157       6.051175084541e-10       1.390986677542e-13      -6.006741547754e-12       1.099305648591e-15       3.111620801229e-12       5.743049046991e-13      -3.568266605130e-15 
  158       6.091959744651e-10       1.380818270149e-13      -5.987395560480e-12       1.114767292640e-15       3.055192568424e-12       5.659817085142e-13      -3.501033077574e-15 
  159       6.132394903380e-10       1.370202361568e-13      -5.964627330726e-12       1.130366872789e-15       3.000040606658e-12       5.578013633682e-13      -3.433871487030e-15 
  160       6.172464658783e-10       1.359160238923e-13      -5.938409431405e-12       1.146104504037e-15       2.946070469610e-12       5.497539134249e-13      -3.366829148787e-15 
  161       6.212153747575e-10       1.347713886311e-13      -5.908716171347e-12       1.161980282811e-15       2.893198752336e-12       5.418307335415e-13      -3.299951585817e-15 
  162       6.251450995274e-10       1.335884473324e-13      -5.875523228275e-12       1.177994319366e-15       2.841413400649e-12       5.340317583008e-13      -3.233277017069e-15 
  163       6.290346157284e-10       1.323693765511e-13      -5.838808059340e-12       1.194146707220e-15       2.790718460198e-12       5.263588584321e-13      -3.166841341974e-15 
  164       6.328828827722e-10       1.311164620661e-13      -5.798550068388e-12       1.210437512295e-15       2.741114980495e-12       5.188135512509e-13      -3.100679841033e-15 
  165       6.366888436546e-10       1.298321003942e-13      -5.754730645182e-12       1.226866772419e-15       2.692600947870e-12       5.113969921602e-13      -3.034827148038e-15 
